reviews
“손보사 업계 1위? 그런데 연봉과 처우는? 말도못하는회사”
“장점이 없는 회사”
“워라벨좋음 ”
“예전에는 좋았던회사”
“적당히 만족하면 다닐만한 회사”
“업계내 지위에비해 연봉대우가 별로”
“직무별 장단의 차이가 엄청난 회사”
“마음을 비우면 좋은 회사”
"“워라밸은 보장되나 의견 소통, 비전이 없는 회사..”"
“혼돈속의 회사”
“여긴 유치원..?”
“회사는 좋다”
“그냥 대기업”
“늙은 분들에게 많은 것을 배울 수 있다”
“업계1위지만 보상은 업계1위 아님”
“돈안됨”
“인사 관리가 전부인 회사”
"“워라밸은 좋으나 비전, 소통, 소득은 기대하기 어려움”"
“워라밸 빼고 전부 별로”
“욕심없이 다니기엔 좋은회사. 욕심내기 시작하면 힘든 회사”
“비전이 없는 회사”
“안정적으로 정년까지 다닐 수 있는 회사”
“나름좋은회사”
“미래가 불투명한 회사”
“고졸 총무에겐 한없이 높은 벽”
“직원들 월급을 아까워하는 회사”
“취업사기당함”
“시스템만 잘 갖춰져있는 회사”
“ms는 1위 급여는…”
“최악의 회사”
“워라밸 보장되는 괜찮은 금융권대기업”
“어느 한군데 빠짐없이 힘든 회사”
“워라벨이 보장됨”
“탈출하고픈 회사”
“과거의 영화에만 안주”
“성장가능성이 없는 사장만 성장하는 회사”
“동종업계대비 연봉수준이 너무 낮음”
“관리와 인사가 해쳐먹는 회사”
“돔황쳐”
“착한사람만 호구되는 회사”
“삼성이니까”
“리딩회사인척하지만 실상은.....”
“업계1위아닙니다.”
“침몰하는 타이타닉”
“공무원 마인드라면 다닐만 한만한 회사”
“미래가 없는 회사”
“직원 급여- 회사수익+”
“입사 시 무엇을 원하는지 진지하게 고민해야 할 회사”
“갈수록 도태되는회사”
“음...? 돔황챠”
“위치빼곤 그닥”
“비전없이 그냥 다니기 좋은 회사”
“워라밸이 보장되는 회사”
“연봉 개사기 ㅠ ”
“워라밸은 지킬수 있는 회사”
“구지 왜옴?”
“70년대 공무원집단”
“일한만큼 돈 주는 회사”
“돈밖에 볼거 없었는데 이제 돈도 안주는 회사”
“직원들 입지는 *나 줘버린 회사”
“무능한 경영진과 올드한 조직문화”
“갈수록 이상해지는 회사”
"“느슨한 스탭, 고생하는 현업”"
“대기업”
“대기업이란 이런것이다”
“전반적으론 좋지도 나쁘지도 않은 평범한 회사”
“환관정치를 연상시키는 무능한 임원과 그 추종자들의 천국”
“그냥저냥”
“돈은 안주면서 실적은 1위이고 싶지”
"“회사엔 미래가 있고, 대다수 직원엔 미래가 없는 회사”"
“경영진 최악. 망조가 든 회사.”
“현장직은 일이 너무 많고 힘들다”
“맨홀 뚫을 기세로 추락중인 회사”
“다닐 수록 이게 아닌데 싶음.”
“워라밸은 굿”
“가라화재”
“도태는 시간문제”
“도태되어 가는 회사”
“삼류화재”
“워라벨은 운좋으면 지킬 수 있음”
“골품제도가 활성화 되어 있는 회사”
“경영진..할많하않”
“전형적인 옛날 대기업”
“경영진/보상 하위권”
“그냥 가늘고길게월급루팡딱좋인”
“정승화재 그 이상 그 이하도 아님”
“탄탄한 회사이나 극악의 인력구조”
“비전이 없는 회사”
“희망이 보이지않음”
“큰 욕심없이 정년까지 다니라면 그냥 다닐 수 있는 회사”
“좋은'회사'지만 총체적난국”
“망해가는 회사”
“뱀이 되어가는 용의 꼬리”
“이건 아닌데 싶음”
“삶의도움이1도 안되는회사”
“큰집 눈치 보는 데만 밝은 무능한 경영진들로 인해 망해감”
“다닐수록 화가나는 회사”
“임원들 숫자놀음에 미쳐 미래가 없는 회사”
“빛좋은 개살구”
“사장에서 부터 시작되는 최악의 공산당회사”
“마음이 피폐해지는 회사”
“장점은 사라지고 단점은 꾸준히 생겨나는 밉상”
“퇴화하는 중입니다”
“시간이 갈수록 탈출을 꿈꾸는 직원들이 많은 회사”
“월라벨 붕괴”
“위라벨이 보장되는 회사”
“화석화 되어버린 예전에 좋았던 회사”
“이름은 삼성화재 실상은 ㅈ성화재”
“다니고있는 회사지만 망하길 바랍니다.”
“삼성이라는 이름 외엔 모든게 후진 회사”
“현장경험 없는 무능한 경영진. 특정부서 출신만 승진.”
“깨어있지만 아직 깨어있지 못한 회사”
“별점 한 개도 아까운 회사”
"“보고, 관리위주의 회사. 특정부서가 힘을 가진, 미래가 안보이는 회사”"
“현장 워라밸좋음”
“침몰하는배 하지만 아직 제일큰배”
“부조리가 판치는 회사 ”
“직원을 노비로 앎”
“침몰하는 회사”
“회사는 업계 1등 연봉은 업계 최하위”
“썩어버린 비전없는 회사”
“쓸데없는 보고 취합 업무 너무 많음”
“몰락중인 회사”
“입사했을때도 별로 였는데 점점 더 최악”
“침몰해가는 배”
“꿈 많고 목표가 있는 사람은 절대 오면 안됨”
“타이타닉같은 보험사”
"“손보업계 이익 1위, 사장연봉 1위, 직원연봉 6위”"
“최악 장점이 없고 단점만 있다”
“워라벨 급여 조직문화 업계 6위 ”
"“업계 최고 업무량, 업계 하위 급여, 무능하고 사리사욕만 채우는 경영진, 망하는 중”"
“직원을 개무시하는 회사”
“월급이 많이 안나오는 회사”
“유일한 장점마저 사라진 중소기업”
"“연봉 업계 최저,업무강도 최고”"
