reviews
“시총 2위인 중소기업”
“돈으로 보상하는회사”
“위치빼고는 다 좋은 회사”
“돈만보고 다니는곳”
“대우가 좋은 회사”
“조직의 정체성은 중요하지 않은 회사”
“워라밸이 보장됩니다.”
“워라밸 보장 및 적당한 보상”
“22년 부터 급여하나는 확실한 회사”
“돈이 최고다. 우리팀만 싫을뿐”
“워라밸과 돈이 보장됨”
“적당한 워라벨과 적당한 급여”
“워라벨 보장됨”
“출퇴근이 힘든 위치”
“느리지만 조금씩 좋아지는 회사”
“업무체계 부족하지만 복지는 좋은 회사”
“안주하기에 좋은 회사”
“부바부가 심하지만 대체로 워라벨 지키며 돈 벌 수 있는 회사”
“정말 좋은회사”
“워라밸 보장되는 회사”
“어느정도 금전적 보상이 되는 회사”
“좋은직장”
“제조회사 중 워라밸은 나쁘지않음”
“이제서야 ps 좀 정확히 알 수 있는 회사”
“최고의 회사”
“이 정도면 괜찮은 회사”
“미래가 없는회사”
“대리초까지만 굳”
“소통을 할 줄 아는 회사”
“급여 수준이 상당한 회사”
“성과급 받아야 대기업”
“돈 많이주는 회사”
“나는 좋아요”
“회사 이미지 거품이 많이 끼어있는 회사”
“아직까진 워라밸 굳굳”
“분당닉스 제조압 위치 1티어”
“워라벨 보장”
“돈만 좋은회사 ”
“적당히 괜찮은 회사”
“반도체 커리어 쌓기에 좋음”
“네임밸류”
“돈은 잘주고 복지좋은데 성과금장난질이무서움”
“근무지가 중요하지않다면 좋은회사”
“다닐 맛 나는 회사”
“이것저것 많이 받는 것 같지만 결국 일한만큼 받는 회사”
“부바부지만 꽤 좋은 회사라 느껴짐”
“워라벨은 확실히 보장되는 회사”
“워라밸 좋고 돈고 적당히 주며 내부 분위기는 와일드하고 동물원 같음”
“워라밸은 잘 모르겠지만.. 그래도 만족!”
“남들은 부러워하지만 난 싫은 회사”
“반도체가 미랴다”
“워라밸 임금이 좋습니다”
“오래가고 좋은 회사..옛 슬로건이 그립읍니다”
“괜찮은 회사”
“대한민국 최고 연봉킹 회사”
“워라밸 좋고 대체적으로 만족함”
“요즘들어 회사가 바뀌고있습니다”
“교대형태만빼면 만족합니다”
“시총 2위 자격이 있는 기업”
“워라벨 최고.”
“커가는 회사”
“앞으로 반도체가 망할일이 있을까?”
“정신건강에 안좋을수있음”
“무한성장 할수있는 회사”
“팀바이팀 워라벨 보장되는 회사”
“시간과 젊음 그리고 자존감 팔며 돈버는 회사”
“담당 중역이 왕인 곳”
“부바부 사바사”
“PS 빼면 내세울 게?”
“부바부겠지만 워라벨 지켜짐”
“워라벨 복지 급여 좋은편”
“담당들이 팀장들을 갈아먹는 회사”
“돈은 많이주는데”
“경영진 빼고 나름 괜찮은 회사”
“말로만 혁신 2등 회사”
“그래도 대기업이니까..”
“무난한 회사”
“최고의 워라밸 보장 (부서 by 부서)”
“그럭저럭 정년까지 다닐만 한 회사”
“돈은 잘주는 회사”
“배울기회는 많음”
“쏘쏘한 회사”
“설명이 필요없는”
“급여 복지 보장되는 회사”
“반도체 복합 지식을 쌓고 요구하는 회사”
“돈은 많이주지만 커리어는 글쎄...”
"“워라벨 보장, 최고의 복지 ”"
“성장기회 있어요”
“돈 안 써도 되는 회사 ”
“매우 바쁜 회사”
“부바부이지만 워라벨이 전반적으로 좋은 편”
“너무 힘든회사”
“그닥”
“기간이 짧아 아직 잘 모르겠습니다..”
“부바부 사바사 ”
“돈은 많이 주는 회사”
“대기업은 대기업”
“장단점이 확실히 있는 회사”
“제조기술 쪽은 정말 최악..”
“그냥그럼”
“그래도 대기업은 대기업”
“부바부....사바사....?”
“2등주제에 1등인척하는 회사”
“근무지 빼고 전체 만족”
“적당히 로우라이프로 다니기 좋은 회사”
“부바부”
“워라벨은 보장됨”
“sk하이닉스(메인트)”
"“워라벨, 돈, 문화, 등 모든 방면이 최상위권인 회사”"
“부바부 사바사”
“안정적인 회사”
“워라밸 좋고 큰 욕심 없이 다니기에 괜찮음”
“지만 좋은줄 아는 회사”
“좋은회사임은 틀림없다”
“국내업계 최상위 연봉”
“지리적 위치가 아쉬움”
“위치만 빼면 좋은회사”
“소소”
“옛문화가 남아있는곳”
“포기하면 장점이 많음.”
“단점을 보자면 많지만 또 그만한 다른 회사도 없다”
“사람이 시스템을 못 따라감”
“부바부가 큰 회사”
“네이밍은 굿”
“워라밸은 괜찮음”
“부서마다 차이가 많지만 좋은 회사”
“워라벨을쟁취해야살아남는회사”
“한번쯤 다닐만한 회사”
“부서 잘 걸려야함”
“흡족한 보상과 복지”
“업무량 대비 괜찮은 봉급”
“적당한 대기업”
“아쉬운 위치”
“대기업 중의 대기업”
“나쁘진않은회사”
“괜찮네”
“계속 다닐만한 회사”
“들었을때 괜찮은 회사와 받쳐주는 급여”
“나쁘지않다”
“급여랑 복지는 좋다”
“준공무원 같은 회사”
“종합적으로 괜찮은 회사”
“나쁘지 않음”
“반도체의 홍진호”
“먼 것 빼면 다 좋은 회사”
“오래다니면 좋을 회사”
“좋은 회사”
“부바부가 심함”
“돈은 많이주는회사”
“꽤 괜찮은 글로벌 회사”
“부바부 심한 회사”
“개인적인조건으로 만족함”
“무난한 곳”
“워라밸 좋은 회사”
“급여높음”
“최고수준의 급여와 복지”
“워라밸이 보장되는 회사”
“괜찮은 회사”
“업황에 따라 천차만별인 회사”
“그냥다아는회사”
“객관적으로 만족하고 다닐수있는회사”
“ 부바부”
“대기업은 대기업이다”
“개인차가 크지만 워라밸이 보장됨”
“워라밸 굳굳”
“부서잘걸리면 삼성보다 나은선택일수도”
“부바부”
“부바부지만 분당은 워라밸은 좋습니다”
“돈은 좋다 하지만”
“대기업은 대기업이다”
“각종 짜잘한 복지가 많다”
“복지 급여 만족하는 반도체 회사”
“꼰대 아니라하는데 꼰대많은 회사”
“워라밸 굳”
“돈이라도 주는 회사”
“남들다쉴때 막 쉬긴힘든듯..”
“이냥 저냥 다니기 괜찮은 회사”
“대기업 안같은 대기업”
“건배사가 있는 회사”
“워라벨이 보장되는 회사”
“고인물”
“교대 근무를 제외하면 워래벨이 보장되는 회사”
“부바부인데 우리부서는 매일 야근”
“좋은 경력과 빵빵한 통장을 만들수있는 회사”
“기획 조직 근무자로서는 기회의 땅인 곳”
“기술 복지 급여 자기개발 분위기 평타이상”
“대기업 이름값하는 회사”
“부바부 심한 회사”
“좋은 사람이 많은 부서 걸리면 괜찮은 기업”
“좋은 회사”
“워라벨 보장되는데 급여도 좋은 회사”
“대기업 복지가 뭔지 알게되는 회사”
“대감집 노비”
“워라벨이 보장하는 회사”
“그냥저냥”
“나쁘지 않은 회사”
“돈은 괜찮게 주는 회사”
“대기업”
“IDM”
“돈 많이주는 회사”
“제조업 탑티어 회사”
“워라밸 보장되는 회사”
“대기업인줄 알았더니 그냥 그런회사”
“복지는 좋은 회사”
“대감집노비”
“적당한 워라벨에 돈도 적당히 줌”
“시총2위에 걸맞는 기업”
“복지와 급여가 좋은 회사”
“출퇴근 거리만 빼면…..”
“연봉 간편식 좋음”
“같은 직급 다른 회사의 느낌을 보여줌”
“발전하는게 보이는 젊은 회사”
“PS 많이주세요”
“공대 전자과 출신의 드림”
“워라밸 굿”
“평균 이상은 되는 회사”
“워라밸 복지는 괜찮지만 과연 유지 될까?”
“다닐만한 회사”
“평생직장으로 해준다면 워라밸 굳”
“내 할것만 잘하면 되는 회사”
“성과급이 좋다”
“설렁설렁 다니기 좋음”
“부바부 심함”
“돈모으기 좋은 회사”
“괜찮은 월급”
“급여에 만족하는 회사”
“워라벨 개좋아짐 성과급 사태 이후로”
“돈은 많이줌”
"“기숙사 좋음, 기본급 작음”"
“위치가 아쉬움”
“대기업 탈을 쓴 중소기업 문화”
"“워라밸과 복지, 임금은 좋지만 커리어 향상 및 이동이 어려움.”"
“나름 다니기에 좋은 회사”
“실력쌓기에 좋은회사이나 워라밸이 안좋음”
“적당히 다닐만한 회사”
“적당한 회사”
“다닐만한 회사”
“그냥저냥한 회사”
